Produto;Preço (R$)
"Samsung T350 - Monitor Gamer  24""  FHD  75Hz  HDMI  VGA  Freesync  Preto";564
Monitor Gamer LG UltraGear 24” 24GS60F-B IPS Full HD 180Hz 1ms (GtG) NVIDIA® G-SYNC® AMD FreeSync™ HDR10 sRGB 99% HDMI DisplayPort;924
Monitor Gamer LG UltraGear 27” 27GS60F-B IPS Full HD 180Hz 1ms (GtG) NVIDIA® G-SYNC® AMD FreeSync™ HDR10 sRGB 99% HDMI DisplayPort;1049
Monitor PC Gamer LG 24MS500 24” IPS 100Hz Full HD HDMI 2x;589
"Monitor Gamer AOC 27"" 180Hz 0 5ms IPS Ajuste de Altura 27G4/P";948
"Monitor AOC 24"" 100Hz 1ms Gaming HDMI 24B35HM2";599
"MONITOR GAMER SAMSUNG ODYSSEY G30 24"" 144Hz 1ms AMD FreeSync Premium";789
"Monitor Gamer AOC 24"" 180Hz 0 5ms IPS Ajuste de Altura 24G4/P";865
"Monitor Gamer Samsung Odyssey G3""  27""  180Hz  1ms Ajuste de Altura Freesync DP HDMI FHD  preto";989
Monitor Gamer Mancer Horizon Z2 | 21.5 Polegadas | VA | Full HD | 100Hz | 1ms | HDMI/VGA | MCR-HZN21-BL2;491
Haiz Monitor Gamer 25'' 144hz 0.5ms 1920x1080 Adaptative Sync FHD HDMI/DP IPS VESA 1080p;699
"Monitor Gamer Samsung 27"" FHD 75Hz  HDMI  VGA  Freesync Preto  Série T350";724
"Monitor Gamer AOC Agon 32"" Curvo 165Hz 1ms FreeSync AG323FCXE";1376
"Monitor Gamer AOC Hero 27"" 165Hz 1ms Ajuste de Altura 27G2S/BK";872
Monitor PC Gamer LG 27” 27MS500 IPS 100Hz Full HD HDMI 2x;699
Monitor Gamer AOC LEGEND 27 240Hz 0 5ms  Preta/Vermelho  MEDIO  C27G2ZE;1376
Monitor LG 21.5 Gamer Full HD  75Hz  5ms  HDMI  FreeSync - 22MP410;499
Monitor Curvo 23.6 Polegadas 100Hz Full HD LED – Tela 1500R  1MS  98% sRGB  HDMI/VGA  Adaptive Sync  Ajuste de Inclinação e Filtro de Luz Azul para Jogos e Home Office;688
"Monitor Gamer AOC DESTINY 25"" 240Hz 0 5ms FreeSync Premium 25G3ZM";1259
"Monitor Gamer Curvo 27"" 100Hz 3ms Resolução Full HDMI/VGA 1920x1080 Bivolt 36W - Tecnologia de Filtro Azul";843
